id,nombre,apellido,email,password,rol,activo
33,Ana,Diaz,usuario33@ejemplo.com,d61af90de34e181dcb619fdc9c9f817d,estudiante,True
34,Maria,Perez,usuario34@ejemplo.com,7aa4106f8d30c77db0517e813ace4a3b,estudiante,False
35,Pedro,Fernandez,usuario35@ejemplo.com,48ad74b74844fadd28274afd5c617ccf,estudiante,True
36,Elena,Torres,usuario36@ejemplo.com,8ba4260f47598cece4813a294952f7f3,estudiante,True
37,Lucia,,usuario37@ejemplo.com,9ab4b766ba920fca672112a4d81464df,estudiante,True
38,,Sanchez,usuario38@ejemplo.com,b30628ea30edfe26e7650e7bd89cc8a1,profesor,True
39,Ana,Fernandez,usuario39@ejemplo.com,be961c906e3b375dced446d4cf0b6856,estudiante,True
40,,Gomez,usuario40@ejemplo.com,831fc3acf61a6ac7f44f73287ece2942,,True
41,Pedro,Fernandez,usuario41@ejemplo.com,decb7cb773821f0e6486650c6f062be5,estudiante,True
42,Carlos,Fernandez,usuario42@ejemplo.com,b1a6a20d781fde908b1dd9af34deb8ea,profesor,True
43,Lucia,Diaz,usuario43@ejemplo.com,a5669b4e80cfb179cdd36be6eeada2cd,,False
44,Luis,Diaz,usuario44@ejemplo.com,9608e3da7f00ffa26507d1aa9a575197,estudiante,True
45,,Diaz,usuario45@ejemplo.com,0009fa95022c5c2c1276227121652c60,estudiante,False
46,Ana,,usuario46@ejemplo.com,6ea84fafdeb8b3857abe9410c7144ccb,estudiante,True
47,Lucia,Gomez,usuario47@ejemplo.com,ea716d443f74ecc54957c884c0d05612,profesor,True
48,Lucia,Torres,usuario48@ejemplo.com,458c7a67e7b9126ae7a9df4b821ea745,estudiante,False
49,Carlos,Lopez,usuario49@ejemplo.com,0659a802af127843be2e35e0e36c310a,estudiante,True
50,Ana,Lopez,usuario50@ejemplo.com,ed645bbf72d0c71176142d93c99942c2,estudiante,True
51,Ana,Lopez,usuario51@ejemplo.com,8586019a0e3d6c5db0f8800863d2603e,,True
52,Juan,Rodriguez,usuario52@ejemplo.com,49c3e7ecd5f259d24e370f40a889cb92,estudiante,False
53,Juan,Lopez,usuario53@ejemplo.com,81f18971327649c94d6bcf2f68ed8473,,True
54,Pedro,Perez,usuario54@ejemplo.com,6457fb0868939e24c284ab8ca0b56239,profesor,True
55,Lucia,Torres,usuario55@ejemplo.com,abfe2d56a3ac2f1fd4fd0341ce779ccb,profesor,True
56,Juan,Rodriguez,usuario56@ejemplo.com,6716686259c296138760bc8ab7913944,estudiante,True
57,Elena,Diaz,usuario57@ejemplo.com,1d7924e5e2898d767d0200698acdb888,profesor,True
58,Elena,Fernandez,usuario58@ejemplo.com,f93ed9b1d03611edac0ce37ab08621cb,estudiante,True
59,Elena,Torres,usuario59@ejemplo.com,3f4792d772b7147062e148fa9f8c49db,estudiante,False
60,Lucia,Perez,usuario60@ejemplo.com,fddad413726c93599a5a08a1b5aeb74b,estudiante,False
61,Pedro,,usuario61@ejemplo.com,bc18d252d963ea39a580d12386495f2f,estudiante,True
62,,Rodriguez,usuario62@ejemplo.com,9caf76d2bd5b47a69a07137312d47923,estudiante,False
63,Pedro,Torres,usuario63@ejemplo.com,0f6665773debfa134a7d0bdb975c74fb,,True
64,Juan,Sanchez,usuario64@ejemplo.com,a720597245f1a1a63f77068d04f4ff1f,,False
65,,Rodriguez,usuario65@ejemplo.com,3cc973d22efb4e39c7aabc036cec11f8,estudiante,False
66,Carlos,Sanchez,usuario66@ejemplo.com,f8f2c7990ce3701e3fb7562ac4994fb1,profesor,True
67,Ana,Gomez,usuario67@ejemplo.com,dd8112ab5f69dd32d909faf4dcf53323,estudiante,True
68,Luis,Perez,usuario68@ejemplo.com,d8b2f07fb0d8efc5723a1e3211934a84,estudiante,True
69,Pedro,Rodriguez,usuario69@ejemplo.com,a30ef8e29768d22d8a27f608420bd396,estudiante,True
70,Ana,Fernandez,usuario70@ejemplo.com,e480137b6ac15de1bf8786090fb59581,estudiante,True
71,Luis,Fernandez,usuario71@ejemplo.com,0de113c625a62c02bf56b3aa112160d0,,True
72,Ana,Torres,usuario72@ejemplo.com,e7e09324e8a8276879dc5addf427f51e,,True
73,Elena,Rodriguez,usuario73@ejemplo.com,756c922e45e3df3096be0ae4d4f67a58,,True
74,Luis,Fernandez,usuario74@ejemplo.com,f27936b3b7632b1c9c13b9951a47275e,,True
75,Lucia,Sanchez,usuario75@ejemplo.com,b95565458af65ce4173c311b42263e64,estudiante,False
76,Pedro,Perez,usuario76@ejemplo.com,edb3a8b557d325f63190505910eed61c,estudiante,False
77,Maria,Fernandez,usuario77@ejemplo.com,bfcda0370256b0f05a64d5d01f580b86,,False
78,Pedro,Perez,usuario78@ejemplo.com,bc628f2f09462b73e9ef8293da2aa778,estudiante,False
79,Pedro,Lopez,usuario79@ejemplo.com,9abadf78533203afc384930f33867899,estudiante,True
80,Maria,Diaz,usuario80@ejemplo.com,603c7a98001f028cc72749f1f44c3770,estudiante,True
81,Elena,Gomez,usuario81@ejemplo.com,67f4e1f304799aac88f49c8a365a66cd,estudiante,True
82,Ana,,usuario82@ejemplo.com,586588e0016017abe4aa599ccdf99595,profesor,False
83,Maria,Sanchez,usuario83@ejemplo.com,716fbe22eae6a8f1d647d74a8a9d7a57,profesor,True
84,Maria,Gomez,usuario84@ejemplo.com,3e6f4c45b85be86d1334ed3b395a478a,,False
85,Carlos,Fernandez,usuario85@ejemplo.com,3ba6b79859b059d8aacd96eec508227a,estudiante,True
86,Elena,Lopez,usuario86@ejemplo.com,1f6c2b1428ab61c6e83c8c93f2c1d9d5,profesor,True
87,Elena,Diaz,usuario87@ejemplo.com,836f0915a9c8eba7fd2ff45c03e76bba,estudiante,True
88,Luis,Diaz,usuario88@ejemplo.com,ec92d00d7c130df82512548cbc2b4701,profesor,True
89,Luis,Torres,usuario89@ejemplo.com,2bea2a2eac84e370ce3e3101cd7b668e,profesor,True
90,Ana,Torres,usuario90@ejemplo.com,d579ba0fe35141ae95b0e380673be804,estudiante,True
91,Pedro,Fernandez,usuario91@ejemplo.com,e594830c63949b307c3f075b2162521c,estudiante,True
92,Maria,Torres,usuario92@ejemplo.com,c4deb5b86118ac981e8c24b0e551f1ec,profesor,True
93,,Diaz,usuario93@ejemplo.com,0e7edf18645ad2b1bcff4bc782cbe024,profesor,False
94,,Diaz,usuario94@ejemplo.com,5bc2de8c4680ecea6f1063698e8e4641,estudiante,True
95,Ana,Fernandez,usuario95@ejemplo.com,9e6c19a40c8e6535c09abf6a4e886ff1,estudiante,True
96,Elena,Gomez,usuario96@ejemplo.com,b64093964d277ba6415719648594ef3a,profesor,True
97,Carlos,Lopez,usuario97@ejemplo.com,f3741005be37fafae823f5bf76dcd527,profesor,True
98,Elena,Fernandez,usuario98@ejemplo.com,d2f6928fbf6463480d42ebbf5028e573,estudiante,True
99,Pedro,Diaz,usuario99@ejemplo.com,2484b2d1aec71de2ca87f88af401a6af,estudiante,True
100,Pedro,Fernandez,usuario100@ejemplo.com,0ed542b815a0d4b0c457ad9def1a21d2,estudiante,True
101,Lucia,Fernandez,usuario101@ejemplo.com,2804df10cfd85d566a0fbb8d71f760b0,estudiante,False
102,Juan,Lopez,usuario102@ejemplo.com,6b37d1ec969838d29cb611deaff50a6b,estudiante,True
103,,Sanchez,usuario103@ejemplo.com,c99f6758db3841cc311bb858bc46c273,profesor,False
104,Elena,Rodriguez,usuario104@ejemplo.com,86e2e09ac77208621d1e5b0b870e9181,profesor,True
105,Pedro,Torres,usuario105@ejemplo.com,8b811004869c0d33256eec2df927bb48,,False
106,Elena,Fernandez,usuario106@ejemplo.com,83371a42b4e43cb6f11798c561c6096a,estudiante,True
107,Ana,Rodriguez,usuario107@ejemplo.com,4eff325ef64f530dbfbbdb0e161b0fb3,,True
108,Ana,Diaz,usuario108@ejemplo.com,698f7d405956b0c09b3ef547996d33b7,,True
109,Ana,Torres,usuario109@ejemplo.com,d89d5b83134cc33d728f41003d1936dc,profesor,True
110,Carlos,Perez,usuario110@ejemplo.com,15e749cf8eb308259d116dbabc4836ea,estudiante,True
111,Luis,Rodriguez,usuario111@ejemplo.com,db3fc40e6439d4d972870252ccc72f62,estudiante,True
112,Elena,Diaz,usuario112@ejemplo.com,eb7284ca79621ba3dda558d0f7bf0b1f,estudiante,True
113,Elena,Diaz,usuario113@ejemplo.com,d5aaf5d6775acaf901e880f5de2be31e,profesor,True
114,Ana,Sanchez,usuario114@ejemplo.com,9f60f1ef3d9e0449b56d961b3d486e45,,True
115,Carlos,Lopez,usuario115@ejemplo.com,cfb20976542b1fc5b82e229974b48934,profesor,True
116,Luis,Sanchez,usuario116@ejemplo.com,54f1755c6d15e50d92b4ed7cbc4a3548,estudiante,True
117,Elena,Rodriguez,usuario117@ejemplo.com,8d95c691a0c689be28f4c25fe205f7af,profesor,True
118,Luis,Lopez,usuario118@ejemplo.com,8f048dfd0604c5b87d1dc07e0410429c,estudiante,True
119,Pedro,Lopez,usuario119@ejemplo.com,90ca8c40898049bbe01aed406e595c8b,estudiante,True
120,Ana,Torres,usuario120@ejemplo.com,c833a3a1b9888148025b1238aaf26527,estudiante,True
121,Lucia,Perez,usuario121@ejemplo.com,fe4f21f2df1109ac45a1ec89e42fe710,,True
122,Lucia,Rodriguez,usuario122@ejemplo.com,e3acc4acae42dc81a91561af6a971d11,estudiante,True
123,Carlos,Rodriguez,usuario123@ejemplo.com,482c811da5d5b4bc6d497ffa98491e38,estudiante,True
124,Maria,Rodriguez,usuario124@ejemplo.com,e28a09fe9d8ded87ea3a909ffc35cc45,estudiante,True
125,,Torres,usuario125@ejemplo.com,517f1f6f05a73af655fe722e51875dd0,,True
126,Maria,Fernandez,usuario126@ejemplo.com,3989cb0e1fbcc6c55ec173818068f792,estudiante,True
127,Luis,Torres,usuario127@ejemplo.com,e14a0780847cc66e269920ae677b671d,estudiante,False
128,Carlos,Gomez,usuario128@ejemplo.com,39d77dfcaa9e339e242ef167e9e6dfc9,profesor,True
129,Elena,Perez,usuario129@ejemplo.com,4c148b6b5797433dab2b0f4efb530a91,profesor,True
130,Elena,Rodriguez,usuario130@ejemplo.com,b3af4edf19c68bb3769ca791cf7c6214,estudiante,True
131,Luis,Sanchez,usuario131@ejemplo.com,19b955d6fdb85b4dc95a8f2d3ab6eff0,profesor,False
132,Pedro,Perez,usuario132@ejemplo.com,fafda651eaee8e1453edd6ac90b3adec,estudiante,False
133,Carlos,Rodriguez,usuario133@ejemplo.com,f794ebdb27d00b84fec6c31cc5855131,,False
134,Elena,Sanchez,usuario134@ejemplo.com,b7bd041996d0b67003ba2995ad02b04b,profesor,True
135,Pedro,Torres,usuario135@ejemplo.com,c96191581ab1552ca48649f76690a719,,True
136,Ana,Fernandez,usuario136@ejemplo.com,8b955148a51a3b91de06586bae2c3feb,estudiante,True
137,Maria,Diaz,usuario137@ejemplo.com,454940e5d08e703f7242a2265082b221,profesor,True
138,Luis,Lopez,usuario138@ejemplo.com,0bbb61d8bc32c1ef076714b002a609c3,estudiante,True
139,Maria,Sanchez,usuario139@ejemplo.com,41970febb09251f8abcb950412f0cdb6,profesor,True
140,Maria,Perez,usuario140@ejemplo.com,88d518a15e9793516ee0ab9e4ed0bc09,estudiante,True
141,Lucia,Diaz,usuario141@ejemplo.com,e2aea1bb118c28f22935d52033e762bd,profesor,True
142,Maria,Diaz,usuario142@ejemplo.com,7535b2ba112346160c83f243ad0e0125,estudiante,True
143,Pedro,Perez,usuario143@ejemplo.com,d7b0642c8167f7a37d8aaa5820203b0d,estudiante,True
144,Carlos,,usuario144@ejemplo.com,de7f8054cfac06bad4bacf1da8f43322,,True
145,Pedro,,usuario145@ejemplo.com,3e318de8555bc44b635d0ace76e01420,estudiante,True
146,Pedro,Fernandez,usuario146@ejemplo.com,6390462745a49ec64b4613388639011b,profesor,True
147,Pedro,Lopez,usuario147@ejemplo.com,19e82dd6edde3bdcc3081b4babb3e3be,estudiante,True
148,Lucia,Perez,usuario148@ejemplo.com,86aa5035c42fdd153b63fccf5c2c7c6d,,True
149,Ana,Lopez,usuario149@ejemplo.com,4ee267e2079f3592c9ed7478ebc5eaa3,,True
150,Carlos,Sanchez,usuario150@ejemplo.com,021f0e0d935f43e079ec05d663a8f1df,profesor,True
151,Ana,Rodriguez,usuario151@ejemplo.com,1bdae6b016e3dc9db0cde681a19bf3ff,,False
152,Ana,Perez,usuario152@ejemplo.com,86b12d7441d71e03ec821e5a3f68141e,estudiante,True
153,Pedro,Torres,usuario153@ejemplo.com,3252ac7e65282d373e3aba432ee53870,,True
154,Lucia,Diaz,usuario154@ejemplo.com,55800e72dad1f263288c53688b8c2a96,profesor,True
155,Carlos,,usuario155@ejemplo.com,479cd2eb68a499a841755f15a7f28e85,profesor,True
156,Carlos,Diaz,usuario156@ejemplo.com,2cddb318cde6a9b77dde9802d5d71617,estudiante,True
157,,Torres,usuario157@ejemplo.com,ca11bc0ef5c3a663cfd441988ed249a0,,True
158,Lucia,Torres,usuario158@ejemplo.com,80d253d29330f78448c6efbbb1035dfe,estudiante,True
159,Pedro,Sanchez,usuario159@ejemplo.com,775ec8620c3ddb0f18d8cb1a44ce7272,estudiante,True
160,Elena,Torres,usuario160@ejemplo.com,175da3c16e014c7118c6db58d5d23d15,,False
161,Lucia,Lopez,usuario161@ejemplo.com,546ccb08588a64a7bec9ae4cf1e3f58c,estudiante,True
162,Ana,Sanchez,usuario162@ejemplo.com,dd8bdc72e672fe7df389cdca208c6a3c,estudiante,False
163,Elena,Torres,usuario163@ejemplo.com,8df656787c4a0b08221dfb4c9e69f077,estudiante,True
164,Carlos,Fernandez,usuario164@ejemplo.com,da859adbcccd96d03c337112cc35f817,estudiante,True
165,Elena,Sanchez,usuario165@ejemplo.com,929bf86de28914dbfb07062c32400c73,estudiante,True
166,Luis,Torres,usuario166@ejemplo.com,91d8f7c813f0cf54c569697293579275,estudiante,True
167,Carlos,Perez,usuario167@ejemplo.com,0a31283ea4d2d396c6bbb53a04507576,estudiante,False
168,,Lopez,usuario168@ejemplo.com,9b95f15d9fb30035375f2678001c5ac1,estudiante,True
169,Elena,Diaz,usuario169@ejemplo.com,fc4a805641f833ee1f0c4e46da277928,estudiante,False
170,Lucia,Perez,usuario170@ejemplo.com,e80e38d3b71f3098acbf6b132604eba8,profesor,True
171,Carlos,Lopez,usuario171@ejemplo.com,5d0cf735c942a8b9febc5064be9a9315,estudiante,True
172,Elena,Perez,usuario172@ejemplo.com,871486fb6a38fdd991deeacb8dfa7c96,estudiante,True
173,Luis,Perez,usuario173@ejemplo.com,0e8ca04c4ae85164f519110b9cc4c3d7,estudiante,True
174,Carlos,Lopez,usuario174@ejemplo.com,9fece8aabcbef3c5c1a2e889e7d06953,,True
175,Carlos,Fernandez,usuario175@ejemplo.com,202ebeca7dbe5cb3b502be33ca17b2ba,profesor,True
176,Lucia,Fernandez,usuario176@ejemplo.com,a83888603ed317e87c8209743a76729a,estudiante,True
177,Carlos,Sanchez,usuario177@ejemplo.com,d0a7c056c0e6b1ceb001b5d717709be2,profesor,True
178,Luis,Sanchez,usuario178@ejemplo.com,3ff1ae6dc30ff09de812b1bfd9247a15,,True
179,Juan,Rodriguez,usuario179@ejemplo.com,61711033081db9beffa76d5cceda091c,estudiante,True
180,Luis,Perez,usuario180@ejemplo.com,b4637b44c826895156d4386be38ff263,profesor,True
181,Maria,Fernandez,usuario181@ejemplo.com,b4309e127f158fbbee9edbd52f8c78d6,,True
182,,Sanchez,usuario182@ejemplo.com,b567546c96853ba41d3da5e70fbd3c6f,estudiante,True
183,Carlos,Torres,usuario183@ejemplo.com,07eb0578d2841e2d9dad093981b71cf3,profesor,True
184,Pedro,Torres,usuario184@ejemplo.com,185782281d586b8cc41854124abe139f,profesor,True
185,Elena,Sanchez,usuario185@ejemplo.com,20071f7ee7e8750dae5387fa6600e8a5,profesor,False
186,Lucia,Fernandez,usuario186@ejemplo.com,284e128d72c25b0a3c95f2d6e8969e44,estudiante,False
187,Elena,Lopez,usuario187@ejemplo.com,f8b79d364a1575694c07606e34654874,estudiante,True
188,Elena,Fernandez,usuario188@ejemplo.com,58285f09abeb9792e494a77ad6bf473a,,True
189,Elena,Lopez,usuario189@ejemplo.com,41fec62651852b2b45e56329a71e7de5,estudiante,False
190,Carlos,Diaz,usuario190@ejemplo.com,32cbd0272b276a44a406817cce568347,,True
191,Elena,Sanchez,usuario191@ejemplo.com,0e00425eddb49db01a43673bb28a962e,estudiante,True
192,Pedro,Diaz,usuario192@ejemplo.com,8ba2e9749a4f2096bdfabb8f683cc26d,estudiante,False
193,Juan,Sanchez,usuario193@ejemplo.com,36f3e15fcf5541e9608da59e7a22ceaf,estudiante,True
194,,Torres,usuario194@ejemplo.com,5f0b6b8c95674f03163a896bcc460c93,estudiante,True
195,Ana,Rodriguez,usuario195@ejemplo.com,0f40bcef0a703cb88a2fa815db1e30a5,estudiante,True
196,Elena,Lopez,usuario196@ejemplo.com,13554723f52e6d36f9a42e289c53dd40,estudiante,True
197,Carlos,Lopez,usuario197@ejemplo.com,36bdd2526830228c44dddf049abc525b,,True
198,Maria,Perez,usuario198@ejemplo.com,f2bf1303189f87093104531593a34419,profesor,True
199,Juan,Torres,usuario199@ejemplo.com,e2c0db92fc2ad2f5346eef5d0c42348a,estudiante,False
200,Elena,Sanchez,usuario200@ejemplo.com,ab7ade7cb97b3e2e94d3a6ac9f846dfa,,True
201,Carlos,Sanchez,usuario201@ejemplo.com,260b036201f861892c7c5b888a73241a,estudiante,False
202,Luis,Perez,usuario202@ejemplo.com,31a9b6655d6e6a9a7777286141035904,,True
203,Lucia,Lopez,usuario203@ejemplo.com,8992e9e42d417ca56b561daa5d2f3aea,estudiante,False
204,Lucia,Fernandez,usuario204@ejemplo.com,10c9c88e349c2bb63f6d03c42b358f2b,estudiante,True
205,Maria,Diaz,usuario205@ejemplo.com,46851f949f38145161a6dc0cfec1bf54,profesor,True
206,Lucia,Lopez,usuario206@ejemplo.com,a8f8f805d55030b4cca0482df0849f7b,estudiante,True
207,Juan,Torres,usuario207@ejemplo.com,db48f15254eab8fd539b7b3655cf73df,estudiante,False
208,Juan,Sanchez,usuario208@ejemplo.com,3cf0cf13a64f891bebb25687e691fbd2,estudiante,True
209,Luis,Gomez,usuario209@ejemplo.com,74971013e268f0deb909d4472e04a0c1,,False
210,Maria,Sanchez,usuario210@ejemplo.com,060bbadb21edb830ea3f0a7963de2065,profesor,True
211,Ana,Rodriguez,usuario211@ejemplo.com,8e459c3141072a50489b66a7a667c443,estudiante,True
212,Maria,Perez,usuario212@ejemplo.com,881e39bc84c1641e77e696d1681e3eaa,profesor,True
213,Carlos,Diaz,usuario213@ejemplo.com,e169958fb9540fa594e06874e51671e4,estudiante,True
214,Pedro,Lopez,usuario214@ejemplo.com,a5abfed1eaef180b0990cc6c250ac56b,,True
215,Ana,Sanchez,usuario215@ejemplo.com,716854a4a1487a9c68836c19ce3a5b31,estudiante,True
216,Elena,Perez,usuario216@ejemplo.com,055002ea7ebea8e4bfca172606232407,profesor,True
217,Luis,Torres,usuario217@ejemplo.com,b5a36898754b404d668b810504dc656f,,True
218,Maria,Sanchez,usuario218@ejemplo.com,4fbf6865fb732f30e51b91e3890fb225,profesor,True
219,Pedro,Lopez,usuario219@ejemplo.com,10984ff4aadf263ab0ab05f0b3708214,estudiante,False
220,Pedro,Torres,usuario220@ejemplo.com,d2ae6267650ae285855c5292d8017d85,estudiante,True
221,Carlos,Rodriguez,usuario221@ejemplo.com,9b9a061e43cd7ca49fe99a9746d56c23,,True
222,Pedro,Fernandez,usuario222@ejemplo.com,241190129fd7bab5b857c600dac6e2c5,estudiante,True
223,Ana,Rodriguez,usuario223@ejemplo.com,1217682a812f25ed79f08056b0d26050,estudiante,True
224,Luis,Lopez,usuario224@ejemplo.com,bccb656db81abe54b0227a29b74b9c47,estudiante,False
225,Elena,,usuario225@ejemplo.com,d9a60ccaadd3f1c24d0cbacf23f15b98,estudiante,False
226,Luis,Diaz,usuario226@ejemplo.com,61e90f91bac927c5b5a73f5ad0aadf7e,,True
227,Luis,Diaz,usuario227@ejemplo.com,44e012c0ba3761e889593666eaacb3da,estudiante,True
228,Carlos,Lopez,usuario228@ejemplo.com,edb37a2f92dcb5ebeae98c77e19c840c,,True
229,Elena,Sanchez,usuario229@ejemplo.com,2485409311c2e15619ea484bcd6f408f,profesor,False
230,Elena,Diaz,usuario230@ejemplo.com,e9e7ed552da26dc929d01cbd69a3b853,,True
231,,Fernandez,usuario231@ejemplo.com,77423595e487b61093895b4a538819e3,estudiante,True
232,Luis,,usuario232@ejemplo.com,15c506792b37c47b880ab1506452cc00,estudiante,True
233,Ana,Fernandez,usuario233@ejemplo.com,dd9757e28508b805baa4e077fc78cec4,profesor,True
234,Maria,Rodriguez,usuario234@ejemplo.com,a21992c8f0aca8b8961b06c8e30eff6c,profesor,True
235,Maria,Lopez,usuario235@ejemplo.com,3560a1cf168c880af61c132cdcc84946,estudiante,False
236,Ana,Diaz,usuario236@ejemplo.com,59dc2daab8171d9b7336087b20136109,estudiante,True
237,Lucia,Sanchez,usuario237@ejemplo.com,ebba9846900d6b014a9c47d3d869e3e5,estudiante,False
238,Carlos,Torres,usuario238@ejemplo.com,3060e6c09dfa5fda37c758b3416850c9,estudiante,False
239,Ana,Rodriguez,usuario239@ejemplo.com,72032e74a4730666b14ebfc3b8d6a84e,,True
240,Ana,Perez,usuario240@ejemplo.com,a403841bd5d066a04d8ec02796304c25,profesor,True
241,Ana,Diaz,usuario241@ejemplo.com,c3cf464075ee0cb18a985d00fbb8b79e,estudiante,True
242,Pedro,Diaz,usuario242@ejemplo.com,c558f396cb6a78dbb6cf8901212af7ce,estudiante,True
243,Carlos,Lopez,usuario243@ejemplo.com,de2f3dbcc4a4735d803d676840595a50,profesor,False
244,Maria,Fernandez,usuario244@ejemplo.com,578c2e6691b3b5fa05c4c600ff42c81f,,False
245,Luis,Gomez,usuario245@ejemplo.com,e2be63b5c203447f9cfeaa0c66926ee4,estudiante,True
246,Lucia,Diaz,usuario246@ejemplo.com,848b800653fd60ece1e9f65c33f14b6b,,True
247,Ana,Torres,usuario247@ejemplo.com,50d3c109e8bc2c1f56100ad5394938d9,estudiante,False
248,Pedro,Torres,usuario248@ejemplo.com,6d22f88e7b35ad701c2146a637214be1,estudiante,True
249,Luis,Lopez,usuario249@ejemplo.com,6b0fdcd9d4bcb53460fab44981e61e35,estudiante,True
250,Maria,Diaz,usuario250@ejemplo.com,01d2fdcf172957a62a11745207ce7c8a,estudiante,True
251,Lucia,Fernandez,usuario251@ejemplo.com,7fb026cf2b602b6ad5d4275c7cdeaa19,estudiante,True
252,Elena,Perez,usuario252@ejemplo.com,29770c46b4fa54579dc4bcb6868bbdd8,estudiante,True
253,Elena,Lopez,usuario253@ejemplo.com,620bd437e7ad6cde7ec9c123aec3cc30,profesor,True
254,Ana,Sanchez,usuario254@ejemplo.com,bd9266a49f80a0a9601b8199d4a5fe0c,,True
255,Pedro,Torres,usuario255@ejemplo.com,bc8708274dc6f205176b3698f381c3ca,,True
256,Ana,Lopez,usuario256@ejemplo.com,e2d65eba9996cdc17637fb494a061336,,False
257,Lucia,Lopez,usuario257@ejemplo.com,fb2658784c7b92a1bf28ffda23a1cd4f,estudiante,False
258,Lucia,Fernandez,usuario258@ejemplo.com,e3006ece3efd21ca79c543ff7ad269e2,estudiante,False
259,Pedro,Fernandez,usuario259@ejemplo.com,77331e3916dedb5048c0c10ad7aa3d52,profesor,True
260,Ana,Lopez,usuario260@ejemplo.com,d8cf259ad61cccd71f6cc4c6c95a843a,estudiante,True
261,Luis,Diaz,usuario261@ejemplo.com,88bdc6f8bc4edd49c0b5dd22a8f26565,estudiante,True
262,Carlos,Gomez,usuario262@ejemplo.com,949738c929e9a774b911398d397f9f61,estudiante,True
263,Maria,Sanchez,usuario263@ejemplo.com,05d90e239f305347350b4351eb49710c,estudiante,True
264,Carlos,Rodriguez,usuario264@ejemplo.com,dc1751e86c8ba53bd259e5de047bff03,,True
265,Ana,Diaz,usuario265@ejemplo.com,a9aa49d4656258d7b987fffa4b74992b,estudiante,True
266,,Sanchez,usuario266@ejemplo.com,fc93c61822fca792ba121ebd4ae8a343,profesor,True
267,Maria,Lopez,usuario267@ejemplo.com,999b5502111c5c16af9d50d7a4dd2bd9,profesor,True
268,Pedro,Rodriguez,usuario268@ejemplo.com,c907ddfc1ea390093fb39179fa8f0791,estudiante,True
